Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Experiment,ColonyCount,ColonyCount1,ColonyCount2
C1R2,1,2,5,95,Transitivity_D,,,
C1R2,1,3,5,95,Transitivity_D,,,
C1R2,1,4,5,95,Transitivity_D,,,
C1R2,2,3,5,95,Transitivity_D,,,
C1R2,2,4,5,95,Transitivity_D,,,
C1R2,3,4,5,95,Transitivity_D,,,
C1R2,1,2,50,50,Transitivity_D,,,
C1R2,1,3,50,50,Transitivity_D,,,
C1R2,1,4,50,50,Transitivity_D,,,
C1R2,2,3,50,50,Transitivity_D,,,
C1R2,2,4,50,50,Transitivity_D,,,
C1R2,3,4,50,50,Transitivity_D,,,
C1R2,1,2,95,5,Transitivity_D,,,
C1R2,1,3,95,5,Transitivity_D,,,
C1R2,1,4,95,5,Transitivity_D,,,
C1R2,2,3,95,5,Transitivity_D,,,
C1R2,2,4,95,5,Transitivity_D,,,
C1R2,3,4,95,5,Transitivity_D,,,
C1R4,1,2,5,95,Transitivity_D,,,
C1R4,1,3,5,95,Transitivity_D,,,
C1R4,1,4,5,95,Transitivity_D,,,
C1R4,1,5,5,95,Transitivity_D,,,
C1R4,2,3,5,95,Transitivity_D,,,
C1R4,2,4,5,95,Transitivity_D,,,
C1R4,2,5,5,95,Transitivity_D,,,
C1R4,3,4,5,95,Transitivity_D,,,
C1R4,3,5,5,95,Transitivity_D,,,
C1R4,4,5,5,95,Transitivity_D,,,
C1R4,1,2,50,50,Transitivity_D,,,
C1R4,1,3,50,50,Transitivity_D,,,
C1R4,1,4,50,50,Transitivity_D,,,
C1R4,1,5,50,50,Transitivity_D,,,
C1R4,2,3,50,50,Transitivity_D,,,
C1R4,2,4,50,50,Transitivity_D,,,
C1R4,2,5,50,50,Transitivity_D,,,
C1R4,3,4,50,50,Transitivity_D,,,
C1R4,3,5,50,50,Transitivity_D,,,
C1R4,4,5,50,50,Transitivity_D,,,
C1R4,1,2,95,5,Transitivity_D,,,
C1R4,1,3,95,5,Transitivity_D,,,
C1R4,1,4,95,5,Transitivity_D,,,
C1R4,1,5,95,5,Transitivity_D,,,
C1R4,2,3,95,5,Transitivity_D,,,
