Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,Experiment,ColonyCount,ColonyCount1,ColonyCount2,Contamination
C1R2,1,2,5,95,Transitivity_D,51,51,0,FALSE
C1R2,1,2,50,50,Transitivity_D,53,53,0,FALSE
C1R2,1,2,95,5,Transitivity_D,84,84,0,FALSE
C1R2,1,3,5,95,Transitivity_D,270,0,270,FALSE
C1R2,1,3,50,50,Transitivity_D,203,0,203,FALSE
C1R2,1,3,95,5,Transitivity_D,117,105,12,FALSE
C1R2,1,4,5,95,Transitivity_D,37,37,0,FALSE
C1R2,1,4,50,50,Transitivity_D,69,69,0,FALSE
C1R2,1,4,95,5,Transitivity_D,105,105,0,FALSE
C1R2,2,3,5,95,Transitivity_D,169,0,169,FALSE
C1R2,2,3,50,50,Transitivity_D,168,0,168,FALSE
C1R2,2,3,95,5,Transitivity_D,193,0,193,FALSE
C1R2,2,4,5,95,Transitivity_D,150,90,60,FALSE
C1R2,2,4,50,50,Transitivity_D,104,66,38,FALSE
C1R2,2,4,95,5,Transitivity_D,83,71,12,FALSE
C1R2,3,4,5,95,Transitivity_D,206,206,0,FALSE
C1R2,3,4,50,50,Transitivity_D,186,186,0,FALSE
C1R2,3,4,95,5,Transitivity_D,192,192,0,FALSE
C1R4,1,2,5,95,Transitivity_D,144,0,144,FALSE
C1R4,1,2,50,50,Transitivity_D,109,0,109,FALSE
C1R4,1,2,95,5,Transitivity_D,93,0,93,FALSE
C1R4,1,3,5,95,Transitivity_D,38,0,38,FALSE
C1R4,1,3,50,50,Transitivity_D,65,61,4,FALSE
C1R4,1,3,95,5,Transitivity_D,60,53,7,FALSE
C1R4,1,4,5,95,Transitivity_D,54,0,54,FALSE
C1R4,1,4,50,50,Transitivity_D,40,0,40,FALSE
C1R4,1,4,95,5,Transitivity_D,37,0,37,FALSE
C1R4,1,5,5,95,Transitivity_D,49,0,49,FALSE
C1R4,1,5,50,50,Transitivity_D,66,0,66,FALSE
C1R4,1,5,95,5,Transitivity_D,102,0,102,FALSE
C1R4,2,3,5,95,Transitivity_D,122,122,0,FALSE
C1R4,2,3,50,50,Transitivity_D,88,88,0,FALSE
C1R4,2,3,95,5,Transitivity_D,102,102,0,FALSE
C1R4,2,4,5,95,Transitivity_D,,,,FALSE
C1R4,2,4,50,50,Transitivity_D,,,,FALSE
C1R4,2,4,95,5,Transitivity_D,,,,FALSE
C1R4,2,5,5,95,Transitivity_D,,,,FALSE
C1R4,2,5,50,50,Transitivity_D,,,,FALSE
C1R4,2,5,95,5,Transitivity_D,,,,FALSE
C1R4,3,4,5,95,Transitivity_D,52,0,52,FALSE
C1R4,3,4,50,50,Transitivity_D,41,0,41,FALSE
C1R4,3,4,95,5,Transitivity_D,19,0,19,FALSE
C1R4,3,5,5,95,Transitivity_D,138,0,138,FALSE
C1R4,3,5,50,50,Transitivity_D,46,0,46,FALSE
C1R4,3,5,95,5,Transitivity_D,73,0,73,FALSE
C1R4,4,5,5,95,Transitivity_D,,,,FALSE
C1R4,4,5,50,50,Transitivity_D,,,,FALSE
C1R4,4,5,95,5,Transitivity_D,,,,FALSE
C1R6,1,2,5,95,Transitivity_D,,,,FALSE
C1R6,1,2,50,50,Transitivity_D,78,0,78,FALSE
C1R6,1,2,95,5,Transitivity_D,78,0,78,FALSE
C1R6,1,3,5,95,Transitivity_D,53,0,53,FALSE
C1R6,1,3,50,50,Transitivity_D,24,0,24,FALSE
C1R6,1,3,95,5,Transitivity_D,37,0,37,FALSE
C1R6,1,4,5,95,Transitivity_D,93,0,93,FALSE
C1R6,1,4,50,50,Transitivity_D,122,0,122,FALSE
C1R6,1,4,95,5,Transitivity_D,127,0,127,FALSE
C1R6,1,5,5,95,Transitivity_D,50,0,50,FALSE
C1R6,1,5,50,50,Transitivity_D,59,0,59,FALSE
C1R6,1,5,95,5,Transitivity_D,45,0,45,FALSE
C1R6,2,3,5,95,Transitivity_D,94,94,0,FALSE
C1R6,2,3,50,50,Transitivity_D,95,95,0,FALSE
C1R6,2,3,95,5,Transitivity_D,90,90,0,FALSE
C1R6,2,4,5,95,Transitivity_D,121,121,0,FALSE
C1R6,2,4,50,50,Transitivity_D,65,65,0,FALSE
C1R6,2,4,95,5,Transitivity_D,140,140,0,FALSE
C1R6,2,5,5,95,Transitivity_D,82,82,0,FALSE
C1R6,2,5,50,50,Transitivity_D,151,151,0,FALSE
C1R6,2,5,95,5,Transitivity_D,133,113,0,FALSE
C1R6,3,4,5,95,Transitivity_D,134,1,133,FALSE
C1R6,3,4,50,50,Transitivity_D,121,57,64,FALSE
C1R6,3,4,95,5,Transitivity_D,101,6,95,FALSE
C1R6,3,5,5,95,Transitivity_D,49,0,49,FALSE
C1R6,3,5,50,50,Transitivity_D,61,0,61,FALSE
C1R6,3,5,95,5,Transitivity_D,100,0,100,FALSE
C1R6,4,5,5,95,Transitivity_D,58,0,58,FALSE
C1R6,4,5,50,50,Transitivity_D,84,2,82,FALSE
C1R6,4,5,95,5,Transitivity_D,114,103,11,FALSE
C1R7,1,2,5,95,Transitivity_D,105,105,0,FALSE
C1R7,1,2,50,50,Transitivity_D,142,142,0,FALSE
C1R7,1,2,95,5,Transitivity_D,133,133,0,FALSE
C1R7,1,3,5,95,Transitivity_D,119,119,0,FALSE
C1R7,1,3,50,50,Transitivity_D,91,91,0,FALSE
C1R7,1,3,95,5,Transitivity_D,107,107,0,FALSE
C1R7,1,4,5,95,Transitivity_D,161,161,0,FALSE
C1R7,1,4,50,50,Transitivity_D,84,84,0,FALSE
C1R7,1,4,95,5,Transitivity_D,105,105,0,FALSE
C1R7,1,5,5,95,Transitivity_D,117,117,0,FALSE
C1R7,1,5,50,50,Transitivity_D,88,88,0,FALSE
C1R7,1,5,95,5,Transitivity_D,96,96,0,FALSE
C1R7,1,6,5,95,Transitivity_D,151,151,0,FALSE
C1R7,1,6,50,50,Transitivity_D,91,91,0,FALSE
