Community,Isolate1,Isolate2,Fermenter1,Fermenter2,Family1,Family2,Genus1,Genus2
C1R6,2,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter
C1R6,3,4,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia
C1R6,3,5,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter
C1R6,4,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Serratia,Citrobacter
C1R7,1,2,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas
C1R7,1,3,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C1R7,1,4,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia
C1R7,1,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C1R7,1,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter
C1R7,1,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella
C1R7,2,3,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C1R7,2,4,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia
C1R7,2,5,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C1R7,2,6,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Citrobacter
C1R7,2,7,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella
C1R7,3,4,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia
C1R7,3,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C1R7,3,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter
C1R7,3,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella
C1R7,4,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Serratia,Enterobacter
C1R7,4,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Serratia,Citrobacter
C1R7,4,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Serratia,Raoultella
C1R7,5,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter
C1R7,5,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella
C1R7,6,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Citrobacter,Raoultella
C2R6,1,2,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella
C2R6,1,3,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Citrobacter
C2R6,1,4,TRUE,,Enterobacteriaceae,,Enterobacter,
C2R6,2,3,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Citrobacter
C2R6,2,4,TRUE,,Enterobacteriaceae,,Raoultella,
C2R6,3,4,TRUE,,Enterobacteriaceae,,Citrobacter,
C2R8,1,2,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Citrobacter
C2R8,1,3,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas
C2R8,1,4,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas
C2R8,2,3,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas
C2R8,2,4,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Citrobacter,Pseudomonas
C2R8,3,4,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas
C4R1,1,2,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C4R1,1,3,FALSE,FALSE,Pseudomonadaceae,Comamonadaceae,Pseudomonas,Delftia
C4R1,2,3,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Enterobacter,Delftia
C7R1,1,2,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas
C7R1,1,3,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C7R1,1,4,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C7R1,2,3,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C7R1,2,4,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C7R1,3,4,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C8R4,1,2,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C8R4,1,3,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas
C8R4,2,3,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas
C10R2,1,2,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C10R2,1,3,FALSE,,Pseudomonadaceae,,Pseudomonas,
C10R2,2,3,TRUE,,Enterobacteriaceae,,Enterobacter,
C11R1,1,2,FALSE,FALSE,Pseudomonadaceae,Alcaligenaceae,Pseudomonas,Achromobacter
C11R1,1,3,FALSE,FALSE,Pseudomonadaceae,Moraxellaceae,Pseudomonas,Acinetobacter
C11R1,1,4,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Pantoea
C11R1,1,5,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C11R1,1,6,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella
C11R1,1,7,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella
C11R1,1,8,FALSE,FALSE,Pseudomonadaceae,Alcaligenaceae,Pseudomonas,Achromobacter
C11R1,1,9,FALSE,FALSE,Pseudomonadaceae,Comamonadaceae,Pseudomonas,Delftia
C11R1,2,3,FALSE,FALSE,Alcaligenaceae,Moraxellaceae,Achromobacter,Acinetobacter
C11R1,2,4,FALSE,TRUE,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Pantoea
C11R1,2,5,FALSE,TRUE,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Enterobacter
C11R1,2,6,FALSE,TRUE,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Raoultella
C11R1,2,7,FALSE,TRUE,Alcaligenaceae,Enterobacteriaceae,Achromobacter,Raoultella
C11R1,2,8,FALSE,FALSE,Alcaligenaceae,Alcaligenaceae,Achromobacter,Achromobacter
C11R1,2,9,FALSE,FALSE,Alcaligenaceae,Comamonadaceae,Achromobacter,Delftia
C11R1,3,4,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Pantoea
C11R1,3,5,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter
C11R1,3,6,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Raoultella
C11R1,3,7,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Raoultella
C11R1,3,8,FALSE,FALSE,Moraxellaceae,Alcaligenaceae,Acinetobacter,Achromobacter
C11R1,3,9,FALSE,FALSE,Moraxellaceae,Comamonadaceae,Acinetobacter,Delftia
C11R1,4,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Pantoea,Enterobacter
C11R1,4,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Pantoea,Raoultella
C11R1,4,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Pantoea,Raoultella
C11R1,4,8,TRUE,FALSE,Enterobacteriaceae,Alcaligenaceae,Pantoea,Achromobacter
C11R1,4,9,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Pantoea,Delftia
C11R1,5,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella
C11R1,5,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella
C11R1,5,8,TRUE,FALSE,Enterobacteriaceae,Alcaligenaceae,Enterobacter,Achromobacter
C11R1,5,9,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Enterobacter,Delftia
C11R1,6,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Raoultella
C11R1,6,8,TRUE,FALSE,Enterobacteriaceae,Alcaligenaceae,Raoultella,Achromobacter
C11R1,6,9,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Raoultella,Delftia
C11R1,7,8,TRUE,FALSE,Enterobacteriaceae,Alcaligenaceae,Raoultella,Achromobacter
C11R1,7,9,TRUE,FALSE,Enterobacteriaceae,Comamonadaceae,Raoultella,Delftia
C11R1,8,9,FALSE,FALSE,Alcaligenaceae,Comamonadaceae,Achromobacter,Delftia
C11R2,1,2,TRUE,FALSE,Aeromonadaceae,Moraxellaceae,Aeromonas,Acinetobacter
C11R2,1,3,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter
C11R2,1,4,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Raoultella
C11R2,1,5,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Salmonella
C11R2,1,6,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter
C11R2,1,7,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter
C11R2,1,8,TRUE,FALSE,Aeromonadaceae,Moraxellaceae,Aeromonas,Acinetobacter
C11R2,1,9,TRUE,FALSE,Aeromonadaceae,Xanthomonadaceae,Aeromonas,Stenotrophomonas
C11R2,1,10,TRUE,FALSE,Aeromonadaceae,Pseudomonadaceae,Aeromonas,Pseudomonas
C11R2,1,11,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Serratia
C11R2,1,12,TRUE,TRUE,Aeromonadaceae,Enterobacteriaceae,Aeromonas,Enterobacter
C11R2,2,3,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter
C11R2,2,4,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Raoultella
C11R2,2,5,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Salmonella
C11R2,2,6,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter
C11R2,2,7,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter
C11R2,2,8,FALSE,FALSE,Moraxellaceae,Moraxellaceae,Acinetobacter,Acinetobacter
C11R2,2,9,FALSE,FALSE,Moraxellaceae,Xanthomonadaceae,Acinetobacter,Stenotrophomonas
C11R2,2,10,FALSE,FALSE,Moraxellaceae,Pseudomonadaceae,Acinetobacter,Pseudomonas
C11R2,2,11,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Serratia
C11R2,2,12,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter
C11R2,3,4,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Raoultella
C11R2,3,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Salmonella
C11R2,3,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C11R2,3,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C11R2,3,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Enterobacter,Acinetobacter
C11R2,3,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Enterobacter,Stenotrophomonas
C11R2,3,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas
C11R2,3,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia
C11R2,3,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C11R2,4,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Salmonella
C11R2,4,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter
C11R2,4,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter
C11R2,4,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Raoultella,Acinetobacter
C11R2,4,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Raoultella,Stenotrophomonas
C11R2,4,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas
C11R2,4,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Serratia
C11R2,4,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Enterobacter
C11R2,5,6,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter
C11R2,5,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter
C11R2,5,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Salmonella,Acinetobacter
C11R2,5,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Salmonella,Stenotrophomonas
C11R2,5,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Salmonella,Pseudomonas
C11R2,5,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Serratia
C11R2,5,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Salmonella,Enterobacter
C11R2,6,7,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C11R2,6,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Enterobacter,Acinetobacter
C11R2,6,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Enterobacter,Stenotrophomonas
C11R2,6,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas
C11R2,6,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia
C11R2,6,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C11R2,7,8,TRUE,FALSE,Enterobacteriaceae,Moraxellaceae,Enterobacter,Acinetobacter
C11R2,7,9,TRUE,FALSE,Enterobacteriaceae,Xanthomonadaceae,Enterobacter,Stenotrophomonas
C11R2,7,10,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Enterobacter,Pseudomonas
C11R2,7,11,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Serratia
C11R2,7,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Enterobacter,Enterobacter
C11R2,8,9,FALSE,FALSE,Moraxellaceae,Xanthomonadaceae,Acinetobacter,Stenotrophomonas
C11R2,8,10,FALSE,FALSE,Moraxellaceae,Pseudomonadaceae,Acinetobacter,Pseudomonas
C11R2,8,11,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Serratia
C11R2,8,12,FALSE,TRUE,Moraxellaceae,Enterobacteriaceae,Acinetobacter,Enterobacter
C11R2,9,10,FALSE,FALSE,Xanthomonadaceae,Pseudomonadaceae,Stenotrophomonas,Pseudomonas
C11R2,9,11,FALSE,TRUE,Xanthomonadaceae,Enterobacteriaceae,Stenotrophomonas,Serratia
C11R2,9,12,FALSE,TRUE,Xanthomonadaceae,Enterobacteriaceae,Stenotrophomonas,Enterobacter
C11R2,10,11,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Serratia
C11R2,10,12,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Enterobacter
C11R2,11,12,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Serratia,Enterobacter
C11R5,1,2,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella
C11R5,1,3,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas
C11R5,1,4,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas
C11R5,1,5,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella
C11R5,2,3,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas
C11R5,2,4,TRUE,FALSE,Enterobacteriaceae,Pseudomonadaceae,Raoultella,Pseudomonas
C11R5,2,5,TRUE,TRUE,Enterobacteriaceae,Enterobacteriaceae,Raoultella,Raoultella
C11R5,3,4,FALSE,FALSE,Pseudomonadaceae,Pseudomonadaceae,Pseudomonas,Pseudomonas
C11R5,3,5,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella
C11R5,4,5,FALSE,TRUE,Pseudomonadaceae,Enterobacteriaceae,Pseudomonas,Raoultella
