Experiment,Community,Isolate1,Isolate2,Isolate1Freq,Isolate2Freq,ColonyCount,ColonyCount1,ColonyCount2,Contamination,DilutionFactor
Transitivity_D,C1R2,1,2,5,95,51,51,0,FALSE,
Transitivity_D,C1R2,1,2,50,50,53,53,0,FALSE,
Transitivity_D,C1R2,1,2,95,5,84,84,0,FALSE,
Transitivity_D,C1R2,1,3,5,95,270,0,270,FALSE,
Transitivity_D,C1R2,1,3,50,50,203,0,203,FALSE,
Transitivity_D,C1R2,1,3,95,5,117,105,12,FALSE,
Transitivity_D,C1R2,1,4,5,95,37,37,0,FALSE,
Transitivity_D,C1R2,1,4,50,50,69,69,0,FALSE,
Transitivity_D,C1R2,1,4,95,5,105,105,0,FALSE,
Transitivity_D,C1R2,2,3,5,95,169,0,169,FALSE,
Transitivity_D,C1R2,2,3,50,50,168,0,168,FALSE,
Transitivity_D,C1R2,2,3,95,5,193,0,193,FALSE,
Transitivity_D,C1R2,2,4,5,95,150,90,60,FALSE,
Transitivity_D,C1R2,2,4,50,50,104,66,38,FALSE,
Transitivity_D,C1R2,2,4,95,5,83,71,12,FALSE,
Transitivity_D,C1R2,3,4,5,95,47,47,0,FALSE,5
Transitivity_D,C1R2,3,4,50,50,186,186,0,FALSE,
Transitivity_D,C1R2,3,4,95,5,192,192,0,FALSE,
Transitivity_D,C1R4,1,2,5,95,144,0,144,FALSE,
Transitivity_D,C1R4,1,2,50,50,109,0,109,FALSE,
Transitivity_D,C1R4,1,2,95,5,93,0,93,FALSE,
Transitivity_D,C1R4,1,3,5,95,38,0,38,FALSE,
Transitivity_D,C1R4,1,3,50,50,65,61,4,FALSE,
Transitivity_D,C1R4,1,3,95,5,60,53,7,FALSE,
Transitivity_D,C1R4,1,4,5,95,54,0,54,FALSE,
Transitivity_D,C1R4,1,4,50,50,40,0,40,FALSE,
Transitivity_D,C1R4,1,4,95,5,37,0,37,FALSE,
Transitivity_D,C1R4,1,5,5,95,49,0,49,FALSE,
Transitivity_D,C1R4,1,5,50,50,66,0,66,FALSE,
Transitivity_D,C1R4,1,5,95,5,102,0,102,FALSE,
Transitivity_D,C1R4,2,3,5,95,122,122,0,FALSE,
Transitivity_D,C1R4,2,3,50,50,88,88,0,FALSE,
Transitivity_D,C1R4,2,3,95,5,102,102,0,FALSE,
Transitivity_D,C1R4,2,4,5,95,,,,FALSE,
Transitivity_D,C1R4,2,4,50,50,,,,FALSE,
Transitivity_D,C1R4,2,4,95,5,,,,FALSE,
Transitivity_D,C1R4,2,5,5,95,,,,FALSE,
Transitivity_D,C1R4,2,5,50,50,,,,FALSE,
Transitivity_D,C1R4,2,5,95,5,,,,FALSE,
Transitivity_D,C1R4,3,4,5,95,52,0,52,FALSE,
Transitivity_D,C1R4,3,4,50,50,41,0,41,FALSE,
Transitivity_D,C1R4,3,4,95,5,19,0,19,FALSE,
Transitivity_D,C1R4,3,5,5,95,138,0,138,FALSE,
Transitivity_D,C1R4,3,5,50,50,46,0,46,FALSE,
Transitivity_D,C1R4,3,5,95,5,73,0,73,FALSE,
Transitivity_D,C1R4,4,5,5,95,,,,FALSE,
Transitivity_D,C1R4,4,5,50,50,,,,FALSE,
Transitivity_D,C1R4,4,5,95,5,,,,FALSE,
Transitivity_D,C1R6,1,2,5,95,,,,FALSE,
Transitivity_D,C1R6,1,2,50,50,78,0,78,FALSE,
Transitivity_D,C1R6,1,2,95,5,78,0,78,FALSE,
Transitivity_D,C1R6,1,3,5,95,53,0,53,FALSE,
Transitivity_D,C1R6,1,3,50,50,24,0,24,FALSE,
Transitivity_D,C1R6,1,3,95,5,37,0,37,FALSE,
Transitivity_D,C1R6,1,4,5,95,93,0,93,FALSE,
Transitivity_D,C1R6,1,4,50,50,122,0,122,FALSE,
Transitivity_D,C1R6,1,4,95,5,127,0,127,FALSE,
Transitivity_D,C1R6,1,5,5,95,50,0,50,FALSE,
Transitivity_D,C1R6,1,5,50,50,59,0,59,FALSE,
Transitivity_D,C1R6,1,5,95,5,45,0,45,FALSE,
Transitivity_D,C1R6,2,3,5,95,94,94,0,FALSE,
Transitivity_D,C1R6,2,3,50,50,95,95,0,FALSE,
Transitivity_D,C1R6,2,3,95,5,90,90,0,FALSE,
Transitivity_D,C1R6,2,4,5,95,121,121,0,FALSE,
Transitivity_D,C1R6,2,4,50,50,65,65,0,FALSE,
Transitivity_D,C1R6,2,4,95,5,140,140,0,FALSE,
Transitivity_D,C1R6,2,5,5,95,82,82,0,FALSE,
Transitivity_D,C1R6,2,5,50,50,151,151,0,FALSE,
Transitivity_D,C1R6,2,5,95,5,133,113,20,FALSE,
Transitivity_D,C1R6,3,4,5,95,134,1,133,FALSE,
Transitivity_D,C1R6,3,4,50,50,121,57,64,FALSE,
Transitivity_D,C1R6,3,4,95,5,101,6,95,FALSE,
Transitivity_D,C1R6,3,5,5,95,49,0,49,FALSE,
Transitivity_D,C1R6,3,5,50,50,61,0,61,FALSE,
Transitivity_D,C1R6,3,5,95,5,100,0,100,FALSE,
Transitivity_D,C1R6,4,5,5,95,58,0,58,FALSE,
Transitivity_D,C1R6,4,5,50,50,84,2,82,FALSE,
Transitivity_D,C1R6,4,5,95,5,114,103,11,FALSE,
Transitivity_D,C1R7,1,2,5,95,105,105,0,FALSE,
Transitivity_D,C1R7,1,2,50,50,142,142,0,FALSE,
Transitivity_D,C1R7,1,2,95,5,133,133,0,FALSE,
Transitivity_D,C1R7,1,3,5,95,119,119,0,FALSE,
Transitivity_D,C1R7,1,3,50,50,91,91,0,FALSE,
Transitivity_D,C1R7,1,3,95,5,107,107,0,FALSE,
Transitivity_D,C1R7,1,4,5,95,161,161,0,FALSE,
Transitivity_D,C1R7,1,4,50,50,84,84,0,FALSE,
Transitivity_D,C1R7,1,4,95,5,105,105,0,FALSE,
Transitivity_D,C1R7,1,5,5,95,117,117,0,FALSE,
Transitivity_D,C1R7,1,5,50,50,88,88,0,FALSE,
Transitivity_D,C1R7,1,5,95,5,96,96,0,FALSE,
Transitivity_D,C1R7,1,6,5,95,151,151,0,FALSE,
Transitivity_D,C1R7,1,6,50,50,91,91,0,FALSE,
Transitivity_D,C1R7,1,6,95,5,137,137,0,FALSE,
Transitivity_D,C1R7,1,7,5,95,128,18,110,FALSE,
Transitivity_D,C1R7,1,7,50,50,133,38,95,FALSE,
Transitivity_D,C1R7,1,7,95,5,135,58,77,FALSE,
Transitivity_D,C1R7,2,3,5,95,34,0,34,FALSE,
Transitivity_D,C1R7,2,3,50,50,49,0,49,FALSE,
Transitivity_D,C1R7,2,3,95,5,30,0,30,FALSE,
Transitivity_D,C1R7,2,4,5,95,139,0,139,FALSE,
Transitivity_D,C1R7,2,4,50,50,173,0,173,FALSE,
