Community,Isolate1,Isolate2,SeqDifference,SeqLength
C1R2,1,2,81,645
C1R2,1,3,25,659
C1R2,1,4,76,646
C1R2,2,3,116,972
C1R2,2,4,11,904
C1R2,3,4,110,908
C1R4,1,2,62,525
C1R4,1,3,14,666
C1R4,1,4,77,646
C1R4,1,5,94,793
C1R4,2,3,65,525
C1R4,2,4,2,519
C1R4,2,5,3,525
C1R4,3,4,92,747
C1R4,3,5,89,668
C1R4,4,5,1,657
C1R6,1,2,86,662
C1R6,1,3,7,639
C1R6,1,4,91,712
C1R6,1,5,88,668
C1R6,2,3,83,636
C1R6,2,4,23,662
C1R6,2,5,13,661
C1R6,3,4,104,809
C1R6,3,5,94,754
C1R6,4,5,29,785
C1R7,1,2,91,733
C1R7,1,3,13,664
C1R7,1,4,24,734
C1R7,1,5,3,527
C1R7,1,6,9,545
C1R7,1,7,9,530
C1R7,2,3,93,793
C1R7,2,4,109,886
C1R7,2,5,71,653
C1R7,2,6,77,653
C1R7,2,7,76,648
C1R7,3,4,32,793
C1R7,3,5,9,654
C1R7,3,6,11,673
C1R7,3,7,7,650
C1R7,4,5,18,653
C1R7,4,6,18,656
C1R7,4,7,16,651
C1R7,5,6,10,652
C1R7,5,7,12,648
C1R7,6,7,15,650
C2R6,1,2,10,529
C2R6,1,3,2,529
C2R6,1,4,,
C2R6,2,3,12,681
C2R6,2,4,,
C2R6,3,4,,
C2R8,1,2,9,637
C2R8,1,3,77,648
C2R8,1,4,77,648
C2R8,2,3,95,773
C2R8,2,4,99,842
C2R8,3,4,0,814
C4R1,1,2,80,648
C4R1,1,3,143,844
C4R1,2,3,106,658
C7R1,1,2,62,507
C7R1,1,3,0,523
C7R1,1,4,2,519
C7R1,2,3,62,507
C7R1,2,4,82,652
C7R1,3,4,2,519
C8R4,1,2,87,658
C8R4,1,3,0,836
C8R4,2,3,87,658
C10R2,1,2,85,617
C10R2,1,3,,
C10R2,2,3,,
C11R1,1,2,140,788
C11R1,1,3,101,782
C11R1,1,4,109,785
C11R1,1,5,72,526
C11R1,1,6,85,644
C11R1,1,7,107,786
C11R1,1,8,114,656
C11R1,1,9,139,751
C11R1,2,3,142,861
C11R1,2,4,147,861
C11R1,2,5,77,517
C11R1,2,6,111,653
C11R1,2,7,145,839
C11R1,2,8,4,744
C11R1,2,9,103,788
C11R1,3,4,117,867
C11R1,3,5,60,517
C11R1,3,6,79,652
C11R1,3,7,111,840
C11R1,3,8,111,725
C11R1,3,9,149,793
C11R1,4,5,5,526
C11R1,4,6,5,657
C11R1,4,7,16,838
C11R1,4,8,116,726
C11R1,4,9,137,795
C11R1,5,6,8,526
C11R1,5,7,10,526
C11R1,5,8,77,517
C11R1,5,9,73,506
C11R1,6,7,2,657
C11R1,6,8,80,518
C11R1,6,9,75,505
C11R1,7,8,114,704
C11R1,7,9,121,702
C11R1,8,9,88,709
C11R2,1,2,115,826
C11R2,1,3,49,658
C11R2,1,4,47,651
C11R2,1,5,50,653
C11R2,1,6,47,652
C11R2,1,7,50,704
C11R2,1,8,94,632
C11R2,1,9,125,859
C11R2,1,10,103,860
C11R2,1,11,64,863
C11R2,1,12,52,704
C11R2,2,3,89,659
C11R2,2,4,80,649
C11R2,2,5,74,652
C11R2,2,6,78,651
C11R2,2,7,90,692
C11R2,2,8,2,659
C11R2,2,9,124,830
C11R2,2,10,112,871
C11R2,2,11,109,870
C11R2,2,12,91,692
C11R2,3,4,4,523
C11R2,3,5,9,540
C11R2,3,6,6,519
C11R2,3,7,2,656
C11R2,3,8,62,495
C11R2,3,9,107,660
C11R2,3,10,85,657
C11R2,3,11,27,657
C11R2,3,12,4,656
C11R2,4,5,16,653
C11R2,4,6,8,649
C11R2,4,7,4,522
C11R2,4,8,79,627
C11R2,4,9,91,640
C11R2,4,10,78,648
C11R2,4,11,17,653
C11R2,4,12,6,522
C11R2,5,6,12,651
C11R2,5,7,9,539
C11R2,5,8,72,630
C11R2,5,9,90,657
C11R2,5,10,73,654
C11R2,5,11,25,655
C11R2,5,12,11,539
C11R2,6,7,6,518
C11R2,6,8,77,629
C11R2,6,9,90,643
C11R2,6,10,79,651
C11R2,6,11,17,652
C11R2,6,12,8,518
C11R2,7,8,61,495
C11R2,7,9,112,762
C11R2,7,10,91,759
C11R2,7,11,25,703
C11R2,7,12,2,716
C11R2,8,9,85,635
C11R2,8,10,71,631
C11R2,8,11,73,631
C11R2,8,12,62,495
C11R2,9,10,108,945
C11R2,9,11,128,879
C11R2,9,12,109,720
C11R2,10,11,110,884
C11R2,10,12,89,717
C11R2,11,12,27,703
C11R5,1,2,89,678
C11R5,1,3,0,676
C11R5,1,4,0,676
C11R5,1,5,61,484
C11R5,2,3,103,820
C11R5,2,4,89,678
C11R5,2,5,0,486
C11R5,3,4,0,676
C11R5,3,5,61,484
C11R5,4,5,61,484
