selected_function,protocol,seed,exp_id,overwrite_plate,passage_overwrite_plate,output_dir,save_function,save_composition,save_plate,function_lograte,composition_lograte,scale,n_inoc,rich_medium,monoculture,dilution,n_wells,n_propagation,n_transfer,n_transfer_selection,sigma_func,alpha_func,binary_threshold,g0,cost_mean,cost_sd,directed_selection,knock_out,knock_in,knock_in_threshold,bottleneck,bottleneck_size,migration,n_migration,s_migration,coalescence,frac_coalescence,resource_shift,r_type,r_percent,n_pairs,n_trios,sampling,sn,sf,Sgen,rn,rf,R0_food,food,supply,muc,sigc,c0,c1,q,sparsity,fs,fw,g,w,l,m,n,response,sigma_max,regulation,nreg,tau,r,S
f1_additive,simple_screening,1,monoculture-1,NA,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,True,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,NA,Gamma,300,1,0,20,1,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,1,pair-culturable_isolates-1,../data/raw/simulation/pair-culturable-1.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,200,NA,Gamma,300,1,0,20,1,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,1,trio-culturable_isolates-1,../data/raw/simulation/trio-culturable-1.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,200,Gamma,300,1,0,20,1,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,1,pair-culturable_from_trio-1,../data/raw/simulation/pair-culturable_from_trio-1.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,200,Gamma,300,1,0,20,1,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,2,monoculture-2,NA,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,True,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,NA,Gamma,100,3,0,20,3,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,2,pair-culturable_isolates-2,../data/raw/simulation/pair-culturable-2.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,200,NA,Gamma,100,3,0,20,3,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,2,trio-culturable_isolates-2,../data/raw/simulation/trio-culturable-2.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,200,Gamma,100,3,0,20,3,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,2,pair-culturable_from_trio-2,../data/raw/simulation/pair-culturable_from_trio-2.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,200,Gamma,100,3,0,20,3,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,3,monoculture-3,NA,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,True,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,NA,Gamma,100,3,0,20,3,1000,NA,NA,10,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,3,pair-culturable_isolates-3,../data/raw/simulation/pair-culturable-3.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,200,NA,Gamma,100,3,0,20,3,1000,NA,NA,10,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,3,trio-culturable_isolates-3,../data/raw/simulation/trio-culturable-3.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,200,Gamma,100,3,0,20,3,1000,NA,NA,10,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,3,pair-culturable_from_trio-3,../data/raw/simulation/pair-culturable_from_trio-3.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,200,Gamma,100,3,0,20,3,1000,NA,NA,10,NA,NA,NA,0.2,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,4,monoculture-4,NA,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,True,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,NA,Gamma,100,3,0,90,3,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,4,pair-culturable_isolates-4,../data/raw/simulation/pair-culturable-4.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,200,NA,Gamma,100,3,0,90,3,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,4,trio-culturable_isolates-4,../data/raw/simulation/trio-culturable-4.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,200,Gamma,100,3,0,90,3,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
f1_additive,simple_screening,4,pair-culturable_from_trio-4,../data/raw/simulation/pair-culturable_from_trio-4.txt,False,../data/raw/simulation/,FALSE,True,False,1,1,1000000,1000000,TRUE,False,0.001,96,1,10,10,1,1,1,1,0,0,False,False,False,NA,False,NA,False,NA,NA,False,NA,False,NA,NA,NA,200,Gamma,100,3,0,90,3,1000,NA,NA,10,NA,NA,NA,0.8,0.2,NA,NA,NA,NA,0.2,0,NA,type III,NA,NA,NA,NA,NA,100
