exp_id,Transfer,Type,ID,Well,Abundance
community-top_down-1-W67-reconstituted_pairs,0,consumer,94,W0,0.5
community-top_down-1-W67-reconstituted_pairs,0,consumer,139,W0,0.5
community-top_down-1-W67-reconstituted_pairs,0,consumer,6,W1,0.5
community-top_down-1-W67-reconstituted_pairs,0,consumer,18,W1,0.5
community-top_down-1-W67-reconstituted_pairs,0,consumer,6,W2,0.5
community-top_down-1-W67-reconstituted_pairs,0,consumer,19,W2,0.5
community-top_down-1-W67-reconstituted_pairs,0,resource,0,W0,1000.0
community-top_down-1-W67-reconstituted_pairs,0,resource,0,W1,1000.0
community-top_down-1-W67-reconstituted_pairs,0,resource,0,W2,1000.0
community-top_down-1-W67-reconstituted_pairs,0,R0,0,W0,1000.0
community-top_down-1-W67-reconstituted_pairs,0,R0,0,W1,1000.0
community-top_down-1-W67-reconstituted_pairs,0,R0,0,W2,1000.0
community-top_down-1-W67-reconstituted_pairs,1,consumer,94,W0,0.5
community-top_down-1-W67-reconstituted_pairs,1,consumer,139,W0,0.5
community-top_down-1-W67-reconstituted_pairs,1,consumer,6,W1,641.7956012612324
community-top_down-1-W67-reconstituted_pairs,1,consumer,18,W1,1.0006985115666187
community-top_down-1-W67-reconstituted_pairs,1,consumer,6,W2,512.474243304843
community-top_down-1-W67-reconstituted_pairs,1,consumer,19,W2,130.32205770969608
community-top_down-1-W67-reconstituted_pairs,1,resource,0,W0,1000.0
community-top_down-1-W67-reconstituted_pairs,1,resource,0,W1,-1.529558041592306e-12
community-top_down-1-W67-reconstituted_pairs,1,resource,1,W1,1.49399985646607e-08
community-top_down-1-W67-reconstituted_pairs,1,resource,2,W1,2.610828930944114e-09
community-top_down-1-W67-reconstituted_pairs,1,resource,3,W1,10.491055956274453
community-top_down-1-W67-reconstituted_pairs,1,resource,4,W1,3.4986107199072767
community-top_down-1-W67-reconstituted_pairs,1,resource,5,W1,0.03367887414740693
community-top_down-1-W67-reconstituted_pairs,1,resource,6,W1,0.011374728720155807
community-top_down-1-W67-reconstituted_pairs,1,resource,7,W1,2.7995223945702993e-08
community-top_down-1-W67-reconstituted_pairs,1,resource,8,W1,2.137308080406352e-06
community-top_down-1-W67-reconstituted_pairs,1,resource,9,W1,6.570194989776123e-10
community-top_down-1-W67-reconstituted_pairs,1,resource,10,W1,1.6117580392057002e-50
community-top_down-1-W67-reconstituted_pairs,1,resource,11,W1,1.088146384145471e-24
community-top_down-1-W67-reconstituted_pairs,1,resource,12,W1,0.0002594409307944363
community-top_down-1-W67-reconstituted_pairs,1,resource,13,W1,2.674593619459353e-17
community-top_down-1-W67-reconstituted_pairs,1,resource,14,W1,0.0003420764528757395
community-top_down-1-W67-reconstituted_pairs,1,resource,15,W1,1.157745540174673
community-top_down-1-W67-reconstituted_pairs,1,resource,16,W1,1.3918161515502524e-55
community-top_down-1-W67-reconstituted_pairs,1,resource,17,W1,1.2081285340550817e-43
community-top_down-1-W67-reconstituted_pairs,1,resource,18,W1,8.317780857857585e-20
community-top_down-1-W67-reconstituted_pairs,1,resource,19,W1,4.29417169423956e-12
