Sample #,DNA Name,Length (bp),Concentration (ng/uL),Primer,Difficult Template,Notes,Is Empty
1,A,1000,0.83,27F,,,
2,B,1000,0.83,27F,,,
3,C,1000,0.83,27F,,,
4,D,1000,0.83,27F,,,
5,OD_1_99_AB,1000,0.83,27F,,,
6,OD_1_99_AC,1000,0.83,27F,,,
7,OD_1_99_AD,1000,0.83,27F,,,
8,OD_1_99_CD,1000,0.83,27F,,,
9,OD_5_95_AB,1000,0.83,27F,,,
10,OD_5_95_AC,1000,0.83,27F,,,
11,OD_5_95_AD,1000,0.83,27F,,,
12,OD_5_95_CD,1000,0.83,27F,,,
13,OD_50_50_AB,1000,0.83,27F,,,
14,OD_50_50_AC,1000,0.83,27F,,,
15,OD_50_50_AD,1000,0.83,27F,,,
16,OD_50_50_CD,1000,0.83,27F,,,
17,AM  _3_99_AB,1000,0.83,27F,,,
18,AM  _3_99_AC,1000,0.83,27F,,,
19,AM  _3_99_AD,1000,0.83,27F,,,
20,AM  _3_99_CD,1000,0.83,27F,,,
21,AM  _5_95_AB,1000,0.83,27F,,,
22,AM  _5_95_AC,1000,0.83,27F,,,
23,AM  _5_95_AD,1000,0.83,27F,,,
24,AM  _5_95_CD,1000,0.83,27F,,,
25,AM  _50_50_AB,1000,0.83,27F,,,
26,AM  _50_50_AC,1000,0.83,27F,,,
27,AM  _50_50_AD,1000,0.83,27F,,,
28,AM  _50_50_CD,1000,0.83,27F,,,
29,mock,1000,0.83,27F,,,
