AlignmentType,ExpID1,ExpID2,ConsensusLength,BasePairGap,BasePairMismatch,AlignmentScore
global,1.2.A.1,1.2.A.3,660,4,82,-649.042236328125
global,1.2.A.1,1.2.A.5,660,4,21,66.7958374023438
global,1.2.A.1,1.2.B.6,661,6,75,-195.269729614258
global,1.2.A.1,1.4.A.1,660,6,76,112.131813049316
global,1.2.A.1,1.4.A.3,519,0,2,412.766906738281
global,1.2.A.1,1.4.A.4,660,4,85,282.075317382813
global,1.2.A.1,1.4.A.5,658,0,0,810.000854492188
global,1.2.A.1,1.4.B.4,790,133,1,949.216003417969
global,1.2.A.1,1.6.A.1,660,4,84,406.370910644531
global,1.2.A.1,1.6.A.2,658,3,12,1147.47900390625
global,1.2.A.1,1.6.A.4,660,32,82,-301.706176757813
global,1.2.A.1,1.6.A.5,660,4,18,186.170562744141
global,1.2.A.1,1.6.A.6,657,0,0,778.010925292969
global,1.2.A.1,1.7.A.1,665,7,12,885.424438476563
global,1.2.A.1,1.7.A.1.2,661,6,76,-321.5654296875
global,1.2.A.1,1.7.A.3,657,0,8,1201.39831542969
global,1.2.A.1,1.7.A.4,660,4,18,178.170593261719
global,1.2.A.1,1.7.A.5,520,0,2,61.3203735351563
global,1.2.A.1,1.7.B.3,541,0,1,363.973449707031
global,1.2.A.1,1.7.B.4,658,135,9,-106.473045349121
global,1.2.A.1,2.6.A.1,520,0,2,573.317016601563
global,1.2.A.1,2.6.A.2,523,0,11,55.5987548828125
global,1.2.A.1,2.6.A.3,658,0,2,400.230529785156
global,1.2.A.1,2.8.A.1,658,135,9,-106.473045349121
global,1.2.A.1,2.8.A.2,658,0,3,1182.67407226563
global,1.2.A.1,2.8.A.3,659,4,82,120.66178894043
global,1.2.A.1,2.8.B.2,660,4,82,-369.035888671875
global,1.2.A.1,4.1.A.1,660,4,88,65.4323120117188
global,1.2.A.1,4.1.A.2,561,37,7,71.0570373535156
global,1.2.A.1,4.1.B.4,671,15,111,-200.767974853516
global,1.2.A.1,7.1.A.1,658,135,6,439.169677734375
global,1.2.A.1,7.1.A.2,660,4,85,-313.921356201172
global,1.2.A.1,7.1.A.3,658,135,6,439.169677734375
global,1.2.A.1,7.1.B.2,519,0,8,63.18408203125
global,1.2.A.1,8.2.A.1,657,135,6,423.18798828125
global,1.2.A.1,8.2.A.2,657,135,6,423.18798828125
global,1.2.A.1,8.4.A.1,689,33,81,41.2626190185547
global,1.2.A.1,8.4.A.2,658,135,6,-106.829887390137
global,1.2.A.1,8.4.B.2,689,33,81,-50.7373809814453
global,1.2.A.1,8.5.A.1,522,0,1,14.593505859375
global,1.2.A.1,8.5.A.2,660,4,81,-264.738647460938
global,1.2.A.1,8.5.A.3,656,135,8,700.312072753906
global,1.2.A.1,8.5.B.2,657,135,8,706.878356933594
global,1.2.A.1,8.5.B.3,660,4,81,-632.74658203125
global,1.2.A.1,8.5.C.5,660,7,82,120.054611206055
global,1.2.A.1,10.2.A.1,659,51,85,-31.9176483154297
global,1.2.A.1,10.2.A.2,657,0,13,1345.671875
global,1.2.A.1,11.1.A.1,659,4,88,202.889617919922
global,1.2.A.1,11.1.A.2,670,15,99,-285.925750732422
global,1.2.A.1,11.1.A.3,660,3,82,-232.234237670898
global,1.2.A.1,11.1.A.4,658,0,16,773.148315429688
global,1.2.A.1,11.1.B.1,519,0,3,566.717651367188
global,1.2.A.1,11.1.B.3,523,0,10,25.8665161132813
global,1.2.A.1,11.1.C.1,658,0,17,802.400512695312
global,1.2.A.1,11.1.C.2,670,15,101,372.839660644531
global,1.2.A.1,11.1.C.3,671,15,111,2.39208984375
global,1.2.A.1,11.2.A.1,756,98,43,321.105163574219
global,1.2.A.1,11.2.A.2,660,3,83,-91.0281829833984
global,1.2.A.1,11.2.A.3,657,0,17,1525.82019042969
global,1.2.A.1,11.2.A.3.2,658,135,9,-114.473045349121
global,1.2.A.1,11.2.B.1,658,118,9,53.3239440917969
global,1.2.A.1,11.2.B.2,519,0,3,316.905029296875
global,1.2.A.1,11.2.B.3,657,0,15,697.080688476563
global,1.2.A.1,11.2.B.4.1,497,0,61,-562.005493164063
global,1.2.A.1,11.2.B.4.2,806,151,103,-821.700805664063
global,1.2.A.1,11.2.B.6,788,132,82,-1018.21411132813
global,1.2.A.1,11.2.B.7,660,4,19,381.592590332031
global,1.2.A.1,11.2.B.8.2,657,0,19,1403.7080078125
global,1.2.A.1,11.5.A.1,659,4,84,801.33544921875
global,1.2.A.1,11.5.A.1.2,658,0,16,-172.984558105469
global,1.2.A.1,11.5.B.1,813,157,83,58.6670837402344
global,1.2.A.1,11.5.B.2,659,4,83,664.363403320313
global,1.2.A.1,11.5.B.3,621,135,9,184.202270507813
global,1.2.A.1,azo.a1,795,139,88,-78.8075866699219
global,1.2.A.1,11.6.A.1.2,813,157,83,-611.406860351563
global,1.2.A.1,11.6.A.3,658,135,9,-122.473014831543
global,1.2.A.1,11.6.A.5,658,10,16,78.0788269042969
global,1.2.A.3,1.2.A.5,1034,61,115,1222.39929199219
global,1.2.A.3,1.2.B.6,939,34,12,1783.44250488281
global,1.2.A.3,1.4.A.1,930,104,12,1264.67797851563
global,1.2.A.3,1.4.A.3,525,0,63,-1269.2060546875
global,1.2.A.3,1.4.A.4,770,0,9,733.163513183594
global,1.2.A.3,1.4.A.5,781,22,92,-154.720108032227
global,1.2.A.3,1.4.B.4,896,108,94,83.505126953125
global,1.2.A.3,1.6.A.1,770,29,8,740.994018554688
global,1.2.A.3,1.6.A.2,662,2,81,-591.531555175781
global,1.2.A.3,1.6.A.4,808,0,0,1037.37426757813
global,1.2.A.3,1.6.A.5,941,61,103,608.775756835938
global,1.2.A.3,1.6.A.6,888,108,92,49.6671752929688
global,1.2.A.3,1.7.A.1,769,36,86,-172.84130859375
global,1.2.A.3,1.7.A.1.2,937,0,14,1976.34045410156
global,1.2.A.3,1.7.A.3,905,114,101,417.274597167969
global,1.2.A.3,1.7.A.4,920,38,105,604.794677734375
global,1.2.A.3,1.7.A.5,658,1,73,-530.067626953125
global,1.2.A.3,1.7.B.3,775,102,83,-371.846801757813
global,1.2.A.3,1.7.B.4,967,316,77,-601.072387695313
global,1.2.A.3,2.6.A.1,529,0,65,-1142.33935546875
global,1.2.A.3,2.6.A.2,917,236,87,-353.782897949219
global,1.2.A.3,2.6.A.3,973,101,101,530.935363769531
global,1.2.A.3,2.8.A.1,967,316,77,-601.072387695313
global,1.2.A.3,2.8.A.2,877,38,97,870.740051269531
global,1.2.A.3,2.8.A.3,918,104,1,1280.66943359375
global,1.2.A.3,2.8.B.2,939,0,2,2102.88159179688
global,1.2.A.3,4.1.A.1,854,0,8,1483.01708984375
global,1.2.A.3,4.1.A.2,1009,357,77,-438.043334960938
global,1.2.A.3,4.1.B.4,940,79,124,359.381469726563
global,1.2.A.3,7.1.A.1,731,208,65,-1308.40576171875
global,1.2.A.3,7.1.A.2,919,4,16,1798.64318847656
global,1.2.A.3,7.1.A.3,731,208,65,-1308.40576171875
global,1.2.A.3,7.1.B.2,764,89,80,-372.861328125
global,1.2.A.3,8.2.A.1,928,406,62,-1309.82214355469
global,1.2.A.3,8.2.A.2,928,406,62,-1309.82214355469
global,1.2.A.3,8.4.A.1,837,2,35,893.218383789063
global,1.2.A.3,8.4.A.2,979,322,76,-554.954711914063
global,1.2.A.3,8.4.B.2,894,36,36,1029.90795898437
global,1.2.A.3,8.5.A.1,873,239,73,-665.052917480469
global,1.2.A.3,8.5.A.2,915,0,7,1902.19812011719
global,1.2.A.3,8.5.A.3,602,81,66,-1213.490234375
global,1.2.A.3,8.5.B.2,801,279,64,-1209.68872070313
global,1.2.A.3,8.5.B.3,1007,0,7,2506.32006835938
global,1.2.A.3,8.5.C.5,809,0,5,1213.36779785156
global,1.2.A.3,10.2.A.1,763,0,11,859.598022460938
global,1.2.A.3,10.2.A.2,771,106,82,-419.762268066406
global,1.2.A.3,11.1.A.1,885,104,8,1003.65264892578
global,1.2.A.3,11.1.A.2,936,30,136,779.211853027344
global,1.2.A.3,11.1.A.3,905,38,106,505.944946289063
global,1.2.A.3,11.1.A.4,920,39,108,918.133117675781
global,1.2.A.3,11.1.B.1,526,0,64,-1153.42211914063
global,1.2.A.3,11.1.B.3,1006,349,79,-432.444519042969
global,1.2.A.3,11.1.C.1,1011,175,98,541.266357421875
global,1.2.A.3,11.1.C.2,960,216,116,-75.0154266357422
global,1.2.A.3,11.1.C.3,852,76,114,-102.614532470703
global,1.2.A.3,11.2.A.1,863,6,101,629.3154296875
global,1.2.A.3,11.2.A.2,944,70,110,711.393676757813
global,1.2.A.3,11.2.A.3,658,2,88,-530.56689453125
global,1.2.A.3,11.2.A.3.2,849,196,78,-596.7607421875
global,1.2.A.3,11.2.B.1,970,274,77,-239.108123779297
global,1.2.A.3,11.2.B.2,651,0,77,-320.075317382813
global,1.2.A.3,11.2.B.3,1023,264,92,-334.720611572266
global,1.2.A.3,11.2.B.4.1,660,1,76,-266.88037109375
global,1.2.A.3,11.2.B.4.2,932,5,106,730.161743164063
global,1.2.A.3,11.2.B.6,1009,0,17,1971.39379882813
global,1.2.A.3,11.2.B.7,941,61,104,600.480224609375
global,1.2.A.3,11.2.B.8.2,915,200,91,-53.8922576904297
global,1.2.A.3,11.5.A.1,780,104,3,357.244750976563
global,1.2.A.3,11.5.A.1.2,1044,38,120,1154.01696777344
global,1.2.A.3,11.5.B.1,780,0,5,822.94775390625
global,1.2.A.3,11.5.B.2,780,104,2,365.862121582031
global,1.2.A.3,11.5.B.3,721,235,61,-1508.45751953125
global,1.2.A.3,azo.a1,854,0,8,1483.01708984375
global,1.2.A.3,11.6.A.1.2,1009,0,6,2516.90161132813
global,1.2.A.3,11.6.A.3,875,220,78,-584.153442382813
global,1.2.A.3,11.6.A.5,905,11,104,650.72705078125
global,1.2.A.5,1.2.B.6,908,6,104,1166.22387695313
global,1.2.A.5,1.4.A.1,899,76,101,646.527160644531
global,1.2.A.5,1.4.A.3,525,0,13,-676.503601074219
global,1.2.A.5,1.4.A.4,786,52,91,-150.216979980469
global,1.2.A.5,1.4.A.5,729,4,21,311.89892578125
global,1.2.A.5,1.4.B.4,863,76,25,868.564331054688
global,1.2.A.5,1.6.A.1,757,23,92,96.2197036743164
global,1.2.A.5,1.6.A.2,662,2,23,99.8285827636719
global,1.2.A.5,1.6.A.4,810,4,104,356.560791015625
global,1.2.A.5,1.6.A.5,905,23,3,1753.96704101563
global,1.2.A.5,1.6.A.6,855,76,26,807.414794921875
global,1.2.A.5,1.7.A.1,735,2,24,580.5810546875
global,1.2.A.5,1.7.A.1.2,940,38,107,1001.58337402344
global,1.2.A.5,1.7.A.3,864,76,31,990.523681640625
global,1.2.A.5,1.7.A.4,884,0,3,1777.10241699219
global,1.2.A.5,1.7.A.5,871,214,19,128.59912109375
global,1.2.A.5,1.7.B.3,777,106,20,287.885192871094
global,1.2.A.5,1.7.B.4,652,2,17,85.8668823242188
global,1.2.A.5,2.6.A.1,750,221,13,-546.005432128906
global,1.2.A.5,2.6.A.2,887,207,22,375.224060058594
global,1.2.A.5,2.6.A.3,940,69,32,1335.83239746094
global,1.2.A.5,2.8.A.1,652,2,17,85.8668823242188
global,1.2.A.5,2.8.A.2,844,6,28,1521.82360839844
global,1.2.A.5,2.8.A.3,886,74,103,558.085266113281
global,1.2.A.5,2.8.B.2,941,38,108,995.492370605469
global,1.2.A.5,4.1.A.1,856,4,110,767.486572265625
global,1.2.A.5,4.1.A.2,856,205,21,197.223251342773
global,1.2.A.5,4.1.B.4,882,20,134,474.248718261719
global,1.2.A.5,7.1.A.1,523,0,15,-706.872375488281
global,1.2.A.5,7.1.A.2,921,42,114,763.273010253906
global,1.2.A.5,7.1.A.3,523,0,15,-706.872375488281
global,1.2.A.5,7.1.B.2,791,117,20,302.250732421875
global,1.2.A.5,8.2.A.1,522,0,15,-713.439147949219
global,1.2.A.5,8.2.A.2,522,0,15,-713.439147949219
global,1.2.A.5,8.4.A.1,862,29,110,458.157348632813
global,1.2.A.5,8.4.A.2,658,2,21,90.7976684570312
global,1.2.A.5,8.4.B.2,862,6,112,601.956970214844
global,1.2.A.5,8.5.A.1,635,2,17,-25.767333984375
global,1.2.A.5,8.5.A.2,917,38,105,859.195861816406
global,1.2.A.5,8.5.A.3,521,0,17,-625.839904785156
global,1.2.A.5,8.5.B.2,522,0,14,-592.409973144531
global,1.2.A.5,8.5.B.3,1032,59,113,1434.31872558594
global,1.2.A.5,8.5.C.5,811,4,102,380.361999511719
global,1.2.A.5,10.2.A.1,883,122,104,202.959548950195
global,1.2.A.5,10.2.A.2,681,16,24,255.628845214844
global,1.2.A.5,11.1.A.1,930,151,104,325.162353515625
global,1.2.A.5,11.1.A.2,921,34,143,596.055114746094
global,1.2.A.5,11.1.A.3,999,133,101,756.415466308594
global,1.2.A.5,11.1.A.4,887,7,37,1733.12817382813
global,1.2.A.5,11.1.B.1,526,0,15,-574.133544921875
global,1.2.A.5,11.1.B.3,862,206,19,248.928283691406
global,1.2.A.5,11.1.C.1,862,25,30,1201.80944824219
global,1.2.A.5,11.1.C.2,1003,264,115,50.7191276550293
global,1.2.A.5,11.1.C.3,817,40,125,-2.89861226081848
global,1.2.A.5,11.2.A.1,863,6,56,1236.96447753906
global,1.2.A.5,11.2.A.2,911,38,107,916.700988769531
global,1.2.A.5,11.2.A.3,727,70,29,190.914276123047
global,1.2.A.5,11.2.A.3.2,654,2,17,99.0003051757813
global,1.2.A.5,11.2.B.1,994,298,33,214.057678222656
global,1.2.A.5,11.2.B.2,651,0,21,341.962158203125
global,1.2.A.5,11.2.B.3,726,0,27,130.76123046875
global,1.2.A.5,11.2.B.4.1,660,1,81,-267.283325195313
global,1.2.A.5,11.2.B.4.2,901,11,122,435.051086425781
global,1.2.A.5,11.2.B.6,1059,63,125,1197.25744628906
global,1.2.A.5,11.2.B.7,905,23,2,1762.58435058594
global,1.2.A.5,11.2.B.8.2,726,10,29,722.956848144531
global,1.2.A.5,11.5.A.1,989,315,89,-284.484558105469
global,1.2.A.5,11.5.A.1.2,999,3,41,1793.10302734375
global,1.2.A.5,11.5.B.1,989,245,92,-171.888198852539
global,1.2.A.5,11.5.B.2,919,245,88,-275.604309082031
global,1.2.A.5,11.5.B.3,690,204,12,-923.992065429688
global,1.2.A.5,azo.a1,856,4,110,767.486572265625
global,1.2.A.5,11.6.A.1.2,1000,21,118,1222.65197753906
global,1.2.A.5,11.6.A.3,656,2,17,112.133728027344
global,1.2.A.5,11.6.A.5,905,3,45,1489.36877441406
global,1.2.B.6,1.4.A.1,896,70,5,1525.36535644531
global,1.2.B.6,1.4.A.3,697,172,62,-844.903259277344
global,1.2.B.6,1.4.A.4,770,34,11,962.306457519531
global,1.2.B.6,1.4.A.5,730,6,79,-1.49858093261719
global,1.2.B.6,1.4.B.4,863,76,87,716.289306640625
global,1.2.B.6,1.6.A.1,741,5,9,904.839050292969
global,1.2.B.6,1.6.A.2,833,172,86,-186.699462890625
global,1.2.B.6,1.6.A.4,808,0,11,1372.12438964844
global,1.2.B.6,1.6.A.5,908,29,99,1057.65209960938
global,1.2.B.6,1.6.A.6,855,76,85,503.427185058594
global,1.2.B.6,1.7.A.1,734,0,90,250.286376953125
global,1.2.B.6,1.7.A.1.2,937,32,6,1897.06335449219
global,1.2.B.6,1.7.A.3,864,76,90,858.591186523438
global,1.2.B.6,1.7.A.4,887,6,100,1061.96350097656
global,1.2.B.6,1.7.A.5,871,214,72,43.8775634765625
global,1.2.B.6,1.7.B.3,775,102,81,179.767517089844
global,1.2.B.6,1.7.B.4,905,254,78,-183.37028503418
global,1.2.B.6,2.6.A.1,736,207,64,-836.279907226563
global,1.2.B.6,2.6.A.2,886,205,88,191.919067382813
global,1.2.B.6,2.6.A.3,909,69,96,648.697265625
global,1.2.B.6,2.8.A.1,905,254,78,-183.37028503418
global,1.2.B.6,2.8.A.2,844,6,90,1339.46862792969
global,1.2.B.6,2.8.A.3,884,70,10,1408.24133300781
global,1.2.B.6,2.8.B.2,939,34,10,1855.88024902344
global,1.2.B.6,4.1.A.1,854,0,15,1838.68896484375
global,1.2.B.6,4.1.A.2,905,253,76,-170.475219726563
global,1.2.B.6,4.1.B.4,905,43,123,804.567260742187
global,1.2.B.6,7.1.A.1,727,204,65,-882.398559570313
global,1.2.B.6,7.1.A.2,919,38,23,1570.74401855469
global,1.2.B.6,7.1.A.3,727,204,65,-882.398559570313
global,1.2.B.6,7.1.B.2,697,22,85,50.0521850585938
global,1.2.B.6,8.2.A.1,726,204,65,-888.702575683594
global,1.2.B.6,8.2.A.2,726,204,65,-888.702575683594
global,1.2.B.6,8.4.A.1,860,25,39,1483.11120605469
global,1.2.B.6,8.4.A.2,905,248,77,-137.252975463867
global,1.2.B.6,8.4.B.2,860,2,39,1644.14416503906
global,1.2.B.6,8.5.A.1,634,0,72,-240.757934570313
global,1.2.B.6,8.5.A.2,915,34,6,1727.77294921875
global,1.2.B.6,8.5.A.3,725,204,66,-787.491394042969
global,1.2.B.6,8.5.B.2,726,204,67,-691.065856933594
global,1.2.B.6,8.5.B.3,937,32,7,1598.76379394531
global,1.2.B.6,8.5.C.5,809,0,8,1603.5087890625
global,1.2.B.6,10.2.A.1,763,0,14,1249.73889160156
global,1.2.B.6,10.2.A.2,736,70,87,-163.476684570313
global,1.2.B.6,11.1.A.1,851,70,15,1158.73754882813
global,1.2.B.6,11.1.A.2,926,44,132,810.344055175781
global,1.2.B.6,11.1.A.3,907,42,100,931.104309082031
global,1.2.B.6,11.1.A.4,907,26,105,1350.77001953125
global,1.2.B.6,11.1.B.1,526,0,63,-846.895263671875
global,1.2.B.6,11.1.B.3,905,248,80,-162.13981628418
global,1.2.B.6,11.1.C.1,861,23,105,1116.84106445313
global,1.2.B.6,11.1.C.2,910,171,118,279.275634765625
