Community,Motif,Count,Percentile
C10R2,1,0,p05
C10R2,2,0,p05
C10R2,3,0,p05
C10R2,4,0,p05
C10R2,5,0,p05
C10R2,6,0,p05
C10R2,7,0,p05
C11R1,1,0,p05
C11R1,2,3,p05
C11R1,3,4,p05
C11R1,4,10,p05
C11R1,5,4,p05
C11R1,6,28,p05
C11R1,7,8,p05
C11R2,1,7,p05
C11R2,2,29,p05
C11R2,3,17,p05
C11R2,4,38,p05
C11R2,5,17,p05
C11R2,6,54,p05
C11R2,7,9,p05
C11R5,1,0,p05
C11R5,2,1,p05
C11R5,3,0,p05
C11R5,4,1,p05
C11R5,5,0,p05
C11R5,6,0,p05
C11R5,7,0,p05
C1R2,1,0,p05
C1R2,2,0,p05
C1R2,3,0,p05
C1R2,4,0,p05
C1R2,5,0,p05
C1R2,6,0,p05
C1R2,7,0,p05
C1R4,1,0,p05
C1R4,2,1,p05
C1R4,3,0,p05
C1R4,4,1,p05
C1R4,5,0,p05
C1R4,6,0,p05
C1R4,7,0,p05
C1R6,1,0,p05
C1R6,2,1,p05
C1R6,3,0,p05
C1R6,4,1,p05
C1R6,5,0,p05
C1R6,6,0,p05
C1R6,7,0,p05
C1R7,1,1,p05
C1R7,2,10,p05
C1R7,3,1,p05
C1R7,4,3,p05
C1R7,5,1,p05
C1R7,6,1,p05
C1R7,7,0,p05
C2R6,1,0,p05
C2R6,2,0,p05
C2R6,3,0,p05
C2R6,4,0,p05
C2R6,5,0,p05
C2R6,6,0,p05
C2R6,7,0,p05
C2R8,1,0,p05
C2R8,2,0,p05
C2R8,3,0,p05
C2R8,4,0,p05
C2R8,5,0,p05
C2R8,6,0,p05
C2R8,7,0,p05
C4R1,1,0,p05
C4R1,2,0,p05
C4R1,3,0,p05
C4R1,4,0,p05
C4R1,5,0,p05
C4R1,6,0,p05
C4R1,7,0,p05
C7R1,1,0,p05
C7R1,2,0,p05
C7R1,3,0,p05
C7R1,4,0,p05
C7R1,5,0,p05
C7R1,6,0,p05
C7R1,7,0,p05
C8R4,1,0,p05
C8R4,2,0,p05
C8R4,3,0,p05
C8R4,4,0,p05
C8R4,5,0,p05
C8R4,6,0,p05
C8R4,7,1,p05
C10R2,1,0,p95
C10R2,2,0,p95
C10R2,3,1,p95
C10R2,4,1,p95
C10R2,5,1,p95
C10R2,6,0,p95
C10R2,7,0,p95
C11R1,1,4,p95
C11R1,2,9,p95
C11R1,3,12,p95
C11R1,4,20,p95
C11R1,5,12,p95
C11R1,6,41,p95
C11R1,7,15,p95
C11R2,1,17,p95
C11R2,2,43,p95
C11R2,3,32,p95
C11R2,4,58,p95
C11R2,5,32,p95
C11R2,6,70,p95
C11R2,7,17,p95
C11R5,1,2,p95
C11R5,2,4,p95
C11R5,3,3,p95
C11R5,4,5,p95
C11R5,5,3,p95
C11R5,6,3,p95
C11R5,7,1,p95
C1R2,1,1,p95
C1R2,2,1,p95
C1R2,3,2,p95
C1R2,4,2,p95
C1R2,5,2,p95
C1R2,6,1,p95
C1R2,7,0,p95
C1R4,1,2,p95
C1R4,2,4,p95
C1R4,3,3,p95
C1R4,4,5,p95
C1R4,5,3,p95
C1R4,6,3,p95
C1R4,7,1,p95
C1R6,1,2,p95
C1R6,2,4,p95
C1R6,3,3,p95
C1R6,4,5,p95
C1R6,5,3,p95
C1R6,6,3,p95
C1R6,7,1,p95
C1R7,1,7,p95
C1R7,2,17,p95
C1R7,3,6,p95
C1R7,4,11,p95
C1R7,5,7,p95
C1R7,6,4,p95
C1R7,7,1,p95
C2R6,1,0,p95
C2R6,2,1,p95
C2R6,3,1,p95
C2R6,4,2,p95
C2R6,5,1,p95
C2R6,6,3,p95
C2R6,7,1,p95
C2R8,1,0,p95
C2R8,2,1,p95
C2R8,3,1,p95
C2R8,4,2,p95
C2R8,5,1,p95
C2R8,6,1,p95
C2R8,7,0,p95
C4R1,1,0,p95
C4R1,2,0,p95
C4R1,3,1,p95
C4R1,4,1,p95
C4R1,5,1,p95
C4R1,6,0,p95
C4R1,7,0,p95
C7R1,1,2,p95
C7R1,2,2,p95
C7R1,3,2,p95
C7R1,4,2,p95
C7R1,5,2,p95
C7R1,6,0,p95
C7R1,7,0,p95
C8R4,1,0,p95
C8R4,2,0,p95
C8R4,3,0,p95
C8R4,4,0,p95
C8R4,5,0,p95
C8R4,6,0,p95
C8R4,7,1,p95
