JVN1,370,Citrobacter,100.00%
JVN2,371,Enterobacter,100.00%
JVN3,372,Citrobacter,97.00%
JVN4,373,Citrobacter,100.00%
JVN5,374,Bacillus,100.00%
JVN6,375,Citrobacter,99.00%
JVN7,376,Raoultella,100.00%
JVN8,377,Enterobacter,96.00%
JVN9,378,Citrobacter,99.00%
JVN10,379,Enterobacter,59.00%
JVN11,380,Enterobacter,99.00%
JVN12,381,Raoultella,100.00%
JVN13,382,Enterobacter,100.00%
JVN14,383,Pseudomonas,100.00%
JVN15,384,Enterobacter,100.00%
JVN16,385,Enterobacter,89.00%
JVN17,386,Enterobacter,100.00%
JVN18,387,Kosakonia,49.00%
JVN19,388,Enterobacter,100.00%
JVN20,389,Pseudomonas,100.00%
JVN21,390,Pantoea,100.00%
JVN22,391,Enterobacter,100.00%
JVN23,392,Pseudomonas,100.00%
JVN24,393,Enterobacter,100.00%
JVN25,394,Enterobacter,99.00%
JVN26,395,Pantoea,86.00%
JVN27,396,Raoultella,100.00%
JVN28,397,Enterobacter,100.00%
JVN29,398,Thermosulfurimonas,6.00%
JVN30,399,Pseudomonas,100.00%
JVN31,400,Bacillus,100.00%
JVN32,401,Staphylococcus,100.00%
JVN33,402,Bacillus,100.00%
JVN34,403,Enterobacter,100.00%
JVN35,404,Pseudomonas,100.00%
JVN36,405,Enterobacter,99.00%
JVN37,406,Pseudomonas,100.00%
JVN38,407,Smaragdicoccus,51.00%
JVN39,408,Bacillus,100.00%
JVN40,409,Enterobacter,100.00%
JVN41,410,Enterobacter,99.00%
JVN42,411,Lelliottia,41.00%
JVN43,412,Staphylococcus,100.00%
JVN44,413,Bacillus,100.00%
JVN45,414,Staphylococcus,100.00%
JVN46,415,Pseudomonas,100.00%
JVN47,416,Staphylococcus,100.00%
JVN48,417,Staphylococcus,100.00%
azo.a1,419,Pseudomonas,100.00%
azo.b1,420,Raoultella,100.00%
1.2.A.3,428,Pseudomonas,100.00%
1.2.B.1.1,429,Pseudomonas,100.00%
1.2.B.1.2,430,Pseudomonas,100.00%
1.2.B.2,431,Pseudomonas,100.00%
1.2.B.6.1,432,Pseudomonas,100.00%
1.2.B.6.2,433,Pseudomonas,100.00%
1.4.A.4,434,Pseudomonas,100.00%
1.4.A.5,435,Citrobacter,95.00%
1.4.B.3,436,Pseudomonas,100.00%
1.4.B.7,437,Pseudomonas,100.00%
1.6.A.5,438,Serratia,100.00%
1.6.A.6,439,Citrobacter,99.00%
1.7.A.1.1,440,Enterobacter,94.00%
1.7.A.1.2,441,Pseudomonas,100.00%
1.7.A.5,442,Enterobacter,100.00%
2.6.A.5,443,,
2.8.B.2,444,Pseudomonas,100.00%
4.1.A.3,445,Pseudomonas,100.00%
8.4.B.2,446,Pseudomonas,100.00%
8.4.B.3,447,Pseudomonas,100.00%
8.5.B.2,448,Klebsiella,78.00%
8.5.B.3,449,Pseudomonas,100.00%
8.5.C.4,450,Klebsiella,84.00%
8.5.C.6,451,Pseudomonas,100.00%
11.1.A.2,452,Achromobacter,100.00%
11.2.A.2,453,Acinetobacter,100.00%
11.2.B.4.1,454,Acinetobacter,100.00%
11.2.B.4.2,455,Stenotrophomonas,100.00%
11.2.B.4.3,456,Stenotrophomonas,100.00%
11.2.B.4.4,457,Acinetobacter,100.00%
11.2.B.7.1,458,Serratia,100.00%
11.2.B.8.1,459,Acinetobacter,100.00%
11.2.B.8.2,460,Enterobacter,40.00%
11.1.C.1,461,Raoultella,100.00%
11.5.B.2,462,Pseudomonas,100.00%
