Community,Replicate,RankDifference,InteractionType,Count,TotalCount,Fraction
W0,1,0,coexistence,1,1,1
W0,1,1,coexistence,3,4,0.75
W0,1,2,coexistence,0,4,0
W0,1,3,coexistence,0,3,0
W0,1,4,coexistence,0,2,0
W0,1,5,coexistence,1,1,1
W0,2,0,coexistence,0,1,0
W0,2,1,coexistence,0,4,0
W0,2,2,coexistence,3,4,0.75
W0,2,3,coexistence,1,3,0.3333333333333333
W0,2,4,coexistence,1,2,0.5
W0,2,5,coexistence,0,1,0
W0,3,0,coexistence,0,1,0
W0,3,1,coexistence,2,4,0.5
W0,3,2,coexistence,2,4,0.5
W0,3,3,coexistence,0,3,0
W0,3,4,coexistence,1,2,0.5
W0,3,5,coexistence,0,1,0
W0,4,0,coexistence,0,1,0
W0,4,1,coexistence,2,4,0.5
W0,4,2,coexistence,0,4,0
W0,4,3,coexistence,2,3,0.6666666666666666
W0,4,4,coexistence,1,2,0.5
W0,4,5,coexistence,0,1,0
W0,5,0,coexistence,1,1,1
W0,5,1,coexistence,1,4,0.25
W0,5,2,coexistence,0,4,0
W0,5,3,coexistence,1,3,0.3333333333333333
W0,5,4,coexistence,1,2,0.5
W0,5,5,coexistence,1,1,1
W0,6,0,coexistence,1,1,1
W0,6,1,coexistence,1,4,0.25
W0,6,2,coexistence,1,4,0.25
W0,6,3,coexistence,1,3,0.3333333333333333
W0,6,4,coexistence,1,2,0.5
W0,6,5,coexistence,0,1,0
W0,7,0,coexistence,1,1,1
W0,7,1,coexistence,0,4,0
W0,7,2,coexistence,0,4,0
W0,7,3,coexistence,3,3,1
W0,7,4,coexistence,1,2,0.5
W0,7,5,coexistence,0,1,0
W0,8,0,coexistence,1,1,1
W0,8,1,coexistence,3,4,0.75
W0,8,2,coexistence,0,4,0
W0,8,3,coexistence,0,3,0
W0,8,4,coexistence,1,2,0.5
W0,8,5,coexistence,0,1,0
W0,9,0,coexistence,0,1,0
W0,9,1,coexistence,1,4,0.25
W0,9,2,coexistence,1,4,0.25
W0,9,3,coexistence,1,3,0.3333333333333333
W0,9,4,coexistence,1,2,0.5
W0,9,5,coexistence,1,1,1
W0,10,0,coexistence,0,1,0
W0,10,1,coexistence,1,4,0.25
W0,10,2,coexistence,1,4,0.25
W0,10,3,coexistence,2,3,0.6666666666666666
W0,10,4,coexistence,0,2,0
W0,10,5,coexistence,1,1,1
W0,11,0,coexistence,1,1,1
W0,11,1,coexistence,0,4,0
W0,11,2,coexistence,2,4,0.5
W0,11,3,coexistence,2,3,0.6666666666666666
W0,11,4,coexistence,0,2,0
W0,11,5,coexistence,0,1,0
W0,12,0,coexistence,0,1,0
W0,12,1,coexistence,3,4,0.75
W0,12,2,coexistence,1,4,0.25
W0,12,3,coexistence,1,3,0.3333333333333333
W0,12,4,coexistence,0,2,0
W0,12,5,coexistence,0,1,0
W0,13,0,coexistence,1,1,1
W0,13,1,coexistence,1,4,0.25
W0,13,2,coexistence,2,4,0.5
W0,13,3,coexistence,1,3,0.3333333333333333
W0,13,4,coexistence,0,2,0
W0,13,5,coexistence,0,1,0
W0,14,0,coexistence,0,1,0
W0,14,1,coexistence,2,4,0.5
W0,14,2,coexistence,1,4,0.25
W0,14,3,coexistence,1,3,0.3333333333333333
W0,14,4,coexistence,1,2,0.5
W0,14,5,coexistence,0,1,0
W0,15,0,coexistence,0,1,0
W0,15,1,coexistence,2,4,0.5
W0,15,2,coexistence,2,4,0.5
W0,15,3,coexistence,0,3,0
W0,15,4,coexistence,0,2,0
W0,15,5,coexistence,1,1,1
W0,16,0,coexistence,0,1,0
W0,16,1,coexistence,4,4,1
W0,16,2,coexistence,1,4,0.25
W0,16,3,coexistence,0,3,0
W0,16,4,coexistence,0,2,0
W0,16,5,coexistence,0,1,0
W0,17,0,coexistence,0,1,0
W0,17,1,coexistence,1,4,0.25
W0,17,2,coexistence,2,4,0.5
W0,17,3,coexistence,1,3,0.3333333333333333
W0,17,4,coexistence,0,2,0
W0,17,5,coexistence,1,1,1
W0,18,0,coexistence,0,1,0
W0,18,1,coexistence,1,4,0.25
W0,18,2,coexistence,2,4,0.5
W0,18,3,coexistence,1,3,0.3333333333333333
W0,18,4,coexistence,1,2,0.5
W0,18,5,coexistence,0,1,0
W0,19,0,coexistence,0,1,0
W0,19,1,coexistence,0,4,0
W0,19,2,coexistence,1,4,0.25
W0,19,3,coexistence,1,3,0.3333333333333333
W0,19,4,coexistence,2,2,1
W0,19,5,coexistence,1,1,1
W0,20,0,coexistence,0,1,0
W0,20,1,coexistence,4,4,1
W0,20,2,coexistence,1,4,0.25
W0,20,3,coexistence,0,3,0
W0,20,4,coexistence,0,2,0
W0,20,5,coexistence,0,1,0
W0,21,0,coexistence,0,1,0
W0,21,1,coexistence,2,4,0.5
W0,21,2,coexistence,1,4,0.25
W0,21,3,coexistence,0,3,0
W0,21,4,coexistence,1,2,0.5
W0,21,5,coexistence,1,1,1
W0,22,0,coexistence,0,1,0
W0,22,1,coexistence,1,4,0.25
W0,22,2,coexistence,0,4,0
W0,22,3,coexistence,3,3,1
W0,22,4,coexistence,0,2,0
W0,22,5,coexistence,1,1,1
W0,23,0,coexistence,1,1,1
W0,23,1,coexistence,1,4,0.25
W0,23,2,coexistence,0,4,0
W0,23,3,coexistence,1,3,0.3333333333333333
W0,23,4,coexistence,1,2,0.5
W0,23,5,coexistence,1,1,1
W0,24,0,coexistence,0,1,0
W0,24,1,coexistence,1,4,0.25
W0,24,2,coexistence,1,4,0.25
W0,24,3,coexistence,2,3,0.6666666666666666
W0,24,4,coexistence,1,2,0.5
W0,24,5,coexistence,0,1,0
W0,25,0,coexistence,1,1,1
W0,25,1,coexistence,1,4,0.25
W0,25,2,coexistence,2,4,0.5
W0,25,3,coexistence,0,3,0
W0,25,4,coexistence,1,2,0.5
W0,25,5,coexistence,0,1,0
W0,26,0,coexistence,0,1,0
W0,26,1,coexistence,1,4,0.25
W0,26,2,coexistence,3,4,0.75
W0,26,3,coexistence,1,3,0.3333333333333333
W0,26,4,coexistence,0,2,0
W0,26,5,coexistence,0,1,0
W0,27,0,coexistence,1,1,1
W0,27,1,coexistence,0,4,0
W0,27,2,coexistence,1,4,0.25
W0,27,3,coexistence,2,3,0.6666666666666666
W0,27,4,coexistence,0,2,0
W0,27,5,coexistence,1,1,1
W0,28,0,coexistence,1,1,1
W0,28,1,coexistence,2,4,0.5
W0,28,2,coexistence,1,4,0.25
W0,28,3,coexistence,1,3,0.3333333333333333
W0,28,4,coexistence,0,2,0
W0,28,5,coexistence,0,1,0
W0,29,0,coexistence,1,1,1
W0,29,1,coexistence,0,4,0
W0,29,2,coexistence,1,4,0.25
W0,29,3,coexistence,1,3,0.3333333333333333
W0,29,4,coexistence,2,2,1
W0,29,5,coexistence,0,1,0
W0,30,0,coexistence,0,1,0
W0,30,1,coexistence,1,4,0.25
W0,30,2,coexistence,2,4,0.5
W0,30,3,coexistence,1,3,0.3333333333333333
W0,30,4,coexistence,1,2,0.5
W0,30,5,coexistence,0,1,0
W0,31,0,coexistence,0,1,0
W0,31,1,coexistence,3,4,0.75
W0,31,2,coexistence,0,4,0
W0,31,3,coexistence,1,3,0.3333333333333333
W0,31,4,coexistence,0,2,0
W0,31,5,coexistence,1,1,1
W0,32,0,coexistence,0,1,0
W0,32,1,coexistence,1,4,0.25
W0,32,2,coexistence,2,4,0.5
W0,32,3,coexistence,1,3,0.3333333333333333
W0,32,4,coexistence,0,2,0
W0,32,5,coexistence,1,1,1
W0,33,0,coexistence,0,1,0
W0,33,1,coexistence,1,4,0.25
W0,33,2,coexistence,1,4,0.25
W0,33,3,coexistence,2,3,0.6666666666666666
W0,33,4,coexistence,1,2,0.5
W0,33,5,coexistence,0,1,0
W0,34,0,coexistence,1,1,1
W0,34,1,coexistence,1,4,0.25
W0,34,2,coexistence,1,4,0.25
W0,34,3,coexistence,1,3,0.3333333333333333
W0,34,4,coexistence,1,2,0.5
W0,34,5,coexistence,0,1,0
W0,35,0,coexistence,0,1,0
W0,35,1,coexistence,1,4,0.25
W0,35,2,coexistence,1,4,0.25
W0,35,3,coexistence,2,3,0.6666666666666666
W0,35,4,coexistence,1,2,0.5
W0,35,5,coexistence,0,1,0
W0,36,0,coexistence,0,1,0
W0,36,1,coexistence,3,4,0.75
W0,36,2,coexistence,1,4,0.25
W0,36,3,coexistence,0,3,0
W0,36,4,coexistence,1,2,0.5
W0,36,5,coexistence,0,1,0
W0,37,0,coexistence,0,1,0
W0,37,1,coexistence,1,4,0.25
W0,37,2,coexistence,2,4,0.5
W0,37,3,coexistence,0,3,0
W0,37,4,coexistence,2,2,1
W0,37,5,coexistence,0,1,0
W0,38,0,coexistence,0,1,0
W0,38,1,coexistence,2,4,0.5
W0,38,2,coexistence,1,4,0.25
W0,38,3,coexistence,2,3,0.6666666666666666
W0,38,4,coexistence,0,2,0
W0,38,5,coexistence,0,1,0
W0,39,0,coexistence,0,1,0
W0,39,1,coexistence,1,4,0.25
W0,39,2,coexistence,2,4,0.5
W0,39,3,coexistence,1,3,0.3333333333333333
W0,39,4,coexistence,1,2,0.5
W0,39,5,coexistence,0,1,0
W0,40,0,coexistence,1,1,1
W0,40,1,coexistence,3,4,0.75
W0,40,2,coexistence,0,4,0
W0,40,3,coexistence,0,3,0
W0,40,4,coexistence,1,2,0.5
W0,40,5,coexistence,0,1,0
W0,41,0,coexistence,1,1,1
W0,41,1,coexistence,1,4,0.25
W0,41,2,coexistence,1,4,0.25
W0,41,3,coexistence,1,3,0.3333333333333333
W0,41,4,coexistence,0,2,0
W0,41,5,coexistence,1,1,1
W0,42,0,coexistence,1,1,1
W0,42,1,coexistence,1,4,0.25
W0,42,2,coexistence,1,4,0.25
W0,42,3,coexistence,2,3,0.6666666666666666
W0,42,4,coexistence,0,2,0
W0,42,5,coexistence,0,1,0
W0,43,0,coexistence,0,1,0
W0,43,1,coexistence,2,4,0.5
W0,43,2,coexistence,1,4,0.25
W0,43,3,coexistence,2,3,0.6666666666666666
W0,43,4,coexistence,0,2,0
W0,43,5,coexistence,0,1,0
W0,44,0,coexistence,0,1,0
W0,44,1,coexistence,3,4,0.75
W0,44,2,coexistence,2,4,0.5
W0,44,3,coexistence,0,3,0
W0,44,4,coexistence,0,2,0
W0,44,5,coexistence,0,1,0
W0,45,0,coexistence,0,1,0
W0,45,1,coexistence,2,4,0.5
W0,45,2,coexistence,2,4,0.5
W0,45,3,coexistence,1,3,0.3333333333333333
W0,45,4,coexistence,0,2,0
